Data;21134 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - %;21135 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - %;21137 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - %;21138 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - %;21140 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - %;21141 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES - %;21142 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES - %;21144 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Outros créditos direcionados - %
07/2022;0,11 ;0,82 ;1,40 ;0,85 ;17,05 ;0,82 ;0,20 ;1,39
08/2022;0,10 ;0,87 ;1,16 ;0,65 ;15,30 ;0,71 ;0,21 ;1,36
09/2022;0,12 ;0,79 ;1,17 ;0,67 ;15,18 ;0,69 ;0,21 ;1,32
10/2022;0,10 ;0,67 ;1,08 ;0,72 ;15,24 ;0,69 ;0,21 ;1,44
11/2022;0,12 ;0,64 ;1,21 ;0,77 ;13,54 ;0,68 ;0,18 ;1,55
12/2022;0,14 ;0,37 ;1,23 ;0,94 ;13,03 ;0,65 ;0,17 ;1,63
01/2023;0,14 ;0,34 ;1,15 ;1,05 ;12,95 ;0,64 ;0,19 ;1,79
02/2023;0,18 ;0,31 ;1,50 ;1,23 ;13,03 ;0,62 ;0,18 ;3,29
03/2023;0,22 ;0,29 ;1,35 ;0,99 ;12,86 ;0,64 ;0,12 ;3,12
04/2023;0,24 ;0,29 ;3,67 ;1,14 ;13,65 ;0,57 ;0,11 ;3,06
05/2023;0,29 ;0,34 ;3,49 ;1,09 ;13,61 ;0,57 ;0,10 ;3,07
06/2023;0,32 ;0,39 ;3,25 ;0,75 ;12,83 ;0,56 ;0,09 ;3,11
07/2023;0,38 ;0,42 ;3,28 ;0,74 ;12,07 ;0,56 ;0,10 ;3,05
08/2023;0,34 ;0,32 ;2,95 ;0,72 ;11,35 ;0,56 ;0,23 ;3,09
09/2023;0,31 ;0,29 ;2,90 ;0,66 ;9,78 ;0,55 ;0,19 ;3,03
10/2023;0,37 ;0,51 ;2,92 ;0,83 ;9,11 ;0,55 ;0,22 ;3,12
11/2023;0,35 ;0,58 ;2,85 ;0,71 ;8,68 ;0,56 ;0,15 ;3,31
12/2023;0,39 ;0,49 ;2,85 ;0,72 ;7,85 ;0,55 ;0,05 ;2,16
01/2024;0,46 ;0,52 ;2,63 ;0,66 ;7,75 ;0,56 ;0,05 ;2,47
02/2024;0,50 ;0,52 ;2,71 ;0,72 ;7,61 ;0,56 ;0,07 ;2,42
03/2024;0,51 ;0,52 ;2,62 ;0,65 ;6,56 ;0,56 ;0,08 ;2,51
04/2024;0,60 ;0,47 ;0,88 ;0,92 ;6,27 ;0,57 ;0,09 ;2,67
05/2024;0,68 ;0,49 ;0,96 ;0,88 ;6,06 ;0,66 ;0,11 ;2,88
06/2024;0,60 ;0,45 ;0,83 ;0,77 ;5,81 ;0,67 ;0,08 ;2,49
07/2024;0,56 ;0,37 ;0,78 ;0,69 ;5,43 ;0,59 ;0,11 ;2,55
08/2024;0,72 ;0,32 ;0,93 ;0,67 ;5,14 ;0,58 ;0,19 ;2,61
09/2024;0,54 ;0,32 ;0,89 ;0,14 ;4,95 ;0,61 ;0,25 ;2,78
10/2024;0,60 ;0,33 ;0,93 ;0,40 ;4,79 ;0,60 ;0,23 ;2,77
11/2024;0,60 ;0,35 ;0,95 ;0,41 ;4,67 ;0,67 ;0,17 ;2,75
12/2024;0,36 ;0,18 ;0,87 ;0,38 ;4,50 ;0,58 ;0,09 ;2,08
01/2025;0,54 ;0,19 ;0,64 ;0,36 ;4,37 ;0,58 ;0,13 ;2,28
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
